Sample in Buffer,Sample in Window,TRIGGER,cos_500kHz[15:0],cos_1MHz[15:0],cos_2MHz[15:0],cos_2_8MHz_wc[15:0],outputCos[17:0],filteredCos[18:0]
2871,2871,0,-11584,8182,-8196,-5120,-37307,-4552
2872,2872,0,-8189,-13,-16385,31232,-14662,-13310
2873,2873,0,-4238,-8205,-8191,11264,18939,-15312
2874,2874,0,3,-14197,8193,-28928,875,-8664
2875,2875,0,4245,-16385,16384,-17664,-33976,-7363
2876,2876,0,8197,-14189,8188,25088,-17516,-14937
2877,2877,0,11589,-8189,-8196,22528,28237,-17449
2878,2878,0,14193,3,-16385,-20736,27973,-8209
2879,2879,0,15827,8197,-8191,-27136,-10639,-190
2880,2880,0,16384,14193,8193,14848,-9259,-2826
2881,2881,0,15823,16384,16384,29952,40376,-4788
2882,2882,0,14183,14183,8188,-8192,58063,5904
2883,2883,0,11578,8182,-8196,-31744,15129,19681
2884,2884,0,8182,-13,-16385,2048,-18124,21003
2885,2885,0,4230,-8205,-8191,32256,6126,13846
2886,2886,0,-13,-14197,8193,5120,30335,13646
2887,2887,0,-4254,-16385,16384,-31232,56,19524
2888,2888,0,-8205,-14189,8188,-11264,-39583,17097
2889,2889,0,-11596,-8189,-8196,28928,-24517,5064
2890,2890,0,-14197,3,-16385,17664,11188,-1699
2891,2891,0,-15830,8197,-8191,-25088,-629,1310
2892,2892,0,-16385,14193,8193,-22528,-38868,989
2893,2893,0,-15826,16384,16384,20736,-29769,-8852
2894,2894,0,-14189,14183,8188,27136,17198,-15188
2895,2895,0,-11584,8182,-8196,-14848,22085,-8990
2896,2896,0,-8189,-13,-16385,-29952,-24390,-2345
2897,2897,0,-4238,-8205,-8191,8192,-42245,-8150
2898,2898,0,3,-14197,8193,31744,-2197,-17693
2899,2899,0,4245,-16385,16384,-2048,26696,-16031
2900,2900,0,8197,-14189,8188,-32256,-1900,-7354
2901,2901,0,11589,-8189,-8196,-5120,-29107,-6910
2902,2902,0,14193,3,-16385,31232,325,-13323
2903,2903,0,15827,8197,-8191,11264,41329,-11577
2904,2904,0,16384,14193,8193,-28928,29141,202
2905,2905,0,15823,16384,16384,-17664,-3400,7462
2906,2906,0,14183,14183,8188,25088,10447,5679
2907,2907,0,11578,8182,-8196,22528,48409,7580
2908,2908,0,8182,-13,-16385,-20736,36148,18734
2909,2909,0,4230,-8205,-8191,-27136,-16658,25429
2910,2910,0,-13,-14197,8193,14848,-29057,18085
2911,2911,0,-4254,-16385,16384,29952,9784,8560
2912,2912,0,-8205,-14189,8188,-8192,21601,9936
2913,2913,0,-11596,-8189,-8196,-31744,-21445,14094
2914,2914,0,-14197,3,-16385,2048,-49484,6971
2915,2915,0,-15830,8197,-8191,32256,-16245,-6272
2916,2916,0,-16385,14193,8193,5120,18476,-9550
2917,2917,0,-15826,16384,16384,-31232,-2121,-3738
2918,2918,0,-14189,14183,8188,-11264,-34770,-3801
2919,2919,0,-11584,8182,-8196,28928,-16315,-12019
2920,2920,0,-8189,-13,-16385,17664,19386,-14596
2921,2921,0,-4238,-8205,-8191,-25088,5371,-7925
2922,2922,0,3,-14197,8193,-22528,-35477,-5592
2923,2923,0,4245,-16385,16384,20736,-27576,-13763
2924,2924,0,8197,-14189,8188,27136,20884,-18937
2925,2925,0,11589,-8189,-8196,-14848,30285,-11349
2926,2926,0,14193,3,-16385,-29952,-9403,-2360
2927,2927,0,15827,8197,-8191,8192,-19855,-4416
2928,2928,0,16384,14193,8193,31744,26069,-8828
2929,2929,0,15823,16384,16384,-2048,57272,-1208
2930,2930,0,14183,14183,8188,-32256,26063,13261
2931,2931,0,11578,8182,-8196,-5120,-8935,18119
2932,2932,0,8182,-13,-16385,31232,8500,13620
2933,2933,0,4230,-8205,-8191,11264,35310,14042
2934,2934,0,-13,-14197,8193,-28928,9343,21114
2935,2935,0,-4254,-16385,16384,-17664,-33992,20810
2936,2936,0,-8205,-14189,8188,25088,-26015,9710
2937,2937,0,-11596,-8189,-8196,22528,11835,1992
2938,2938,0,-14197,3,-16385,-20736,4788,4701
2939,2939,0,-15830,8197,-8191,-27136,-39029,5310
2940,2940,0,-16385,14193,8193,14848,-40916,-5111
2941,2941,0,-15826,16384,16384,29952,7607,-14702
2942,2942,0,-14189,14183,8188,-8192,26414,-10963
2943,2943,0,-11584,8182,-8196,-31744,-13243,-2990
2944,2944,0,-8189,-13,-16385,2048,-41286,-5927
2945,2945,0,-4238,-8205,-8191,32256,-10245,-15508
2946,2946,0,3,-14197,8193,5120,21867,-16131
2947,2947,0,4245,-16385,16384,-31232,72,-8648
2948,2948,0,8197,-14189,8188,-11264,-31084,-7549
2949,2949,0,11589,-8189,-8196,28928,-8115,-14377
2950,2950,0,14193,3,-16385,17664,34373,-14609
2951,2951,0,15827,8197,-8191,-25088,27761,-4190
2952,2952,0,16384,14193,8193,-22528,-7211,3274
2953,2953,0,15823,16384,16384,20736,3000,1062
2954,2954,0,14183,14183,8188,27136,48847,1679
2955,2955,0,11578,8182,-8196,-14848,50457,13680
2956,2956,0,8182,-13,-16385,-29952,-1228,24584
2957,2957,0,4230,-8205,-8191,8192,-25874,21204
2958,2958,0,-13,-14197,8193,31744,6271,12085
2959,2959,0,-4254,-16385,16384,-2048,26680,12142
2960,2960,0,-8205,-14189,8188,-32256,-10399,17294
2961,2961,0,-11596,-8189,-8196,-5120,-45509,12532
2962,2962,0,-14197,3,-16385,31232,-22860,-412
2963,2963,0,-15830,8197,-8191,11264,12939,-6076
2964,2964,0,-16385,14193,8193,-28928,-2516,-2082
2965,2965,0,-15826,16384,16384,-17664,-36169,-2451
2966,2966,0,-14189,14183,8188,25088,-21202,-11187
2967,2967,0,-11584,8182,-8196,22528,20037,-15090
2968,2968,0,-8189,-13,-16385,-20736,12986,-8195
2969,2969,0,-4238,-8205,-8191,-27136,-33029,-3925
2970,2970,0,3,-14197,8193,14848,-37525,-11692
2971,2971,0,4245,-16385,16384,29952,9800,-19612
2972,2972,0,8197,-14189,8188,-8192,30100,-14711
2973,2973,0,11589,-8189,-8196,-31744,-5043,-5348
2974,2974,0,14193,3,-16385,2048,-26299,-5941
2975,2975,0,15827,8197,-8191,32256,12145,-11774
2976,2976,0,16384,14193,8193,5120,50133,-7266
2977,2977,0,15823,16384,16384,-31232,30648,6175
2978,2978,0,14183,14183,8188,-11264,-3121,13065
2979,2979,0,11578,8182,-8196,28928,12057,10651
2980,2980,0,8182,-13,-16385,17664,42548,12333
2981,2981,0,4230,-8205,-8191,-25088,21742,21428
2982,2982,0,-13,-14197,8193,-22528,-27009,24185
2983,2983,0,-4254,-16385,16384,20736,-27592,14409
2984,2984,0,-8205,-14189,8188,27136,12385,5709
2985,2985,0,-11596,-8189,-8196,-14848,13883,8091
2986,2986,0,-14197,3,-16385,-29952,-32588,10550
2987,2987,0,-15830,8197,-8191,8192,-48245,1084
2988,2988,0,-16385,14193,8193,31744,-5588,-11113
2989,2989,0,-15826,16384,16384,-2048,24503,-11121
2990,2990,0,-14189,14183,8188,-32256,-5586,-3606
2991,2991,0,-11584,8182,-8196,-5120,-37307,-4552
2992,2992,0,-8189,-13,-16385,31232,-14662,-13310
2993,2993,0,-4238,-8205,-8191,11264,18939,-15312
2994,2994,0,3,-14197,8193,-28928,875,-8664
2995,2995,0,4245,-16385,16384,-17664,-33976,-7363
2996,2996,0,8197,-14189,8188,25088,-17516,-14937
2997,2997,0,11589,-8189,-8196,22528,28237,-17449
2998,2998,0,14193,3,-16385,-20736,27973,-8209
2999,2999,0,15827,8197,-8191,-27136,-10639,-190
3000,3000,0,16384,14193,8193,14848,-9259,-2826
3001,3001,0,15823,16384,16384,29952,40376,-4788
3002,3002,0,14183,14183,8188,-8192,58063,5904
3003,3003,0,11578,8182,-8196,-31744,15129,19681
3004,3004,0,8182,-13,-16385,2048,-18124,21003
3005,3005,0,4230,-8205,-8191,32256,6126,13846
3006,3006,0,-13,-14197,8193,5120,30335,13646
3007,3007,0,-4254,-16385,16384,-31232,56,19524
3008,3008,0,-8205,-14189,8188,-11264,-39583,17097
3009,3009,0,-11596,-8189,-8196,28928,-24517,5064
3010,3010,0,-14197,3,-16385,17664,11188,-1699
3011,3011,0,-15830,8197,-8191,-25088,-629,1310
3012,3012,0,-16385,14193,8193,-22528,-38868,989
3013,3013,0,-15826,16384,16384,20736,-29769,-8852
3014,3014,0,-14189,14183,8188,27136,17198,-15188
3015,3015,0,-11584,8182,-8196,-14848,22085,-8990
3016,3016,0,-8189,-13,-16385,-29952,-24390,-2345
3017,3017,0,-4238,-8205,-8191,8192,-42245,-8150
3018,3018,0,3,-14197,8193,31744,-2197,-17693
3019,3019,0,4245,-16385,16384,-2048,26696,-16031
3020,3020,0,8197,-14189,8188,-32256,-1900,-7354
3021,3021,0,11589,-8189,-8196,-5120,-29107,-6910
3022,3022,0,14193,3,-16385,31232,325,-13323
3023,3023,0,15827,8197,-8191,11264,41329,-11577
3024,3024,0,16384,14193,8193,-28928,29141,202
3025,3025,0,15823,16384,16384,-17664,-3400,7462
3026,3026,0,14183,14183,8188,25088,10447,5679
3027,3027,0,11578,8182,-8196,22528,48409,7580
3028,3028,0,8182,-13,-16385,-20736,36148,18734
3029,3029,0,4230,-8205,-8191,-27136,-16658,25429
3030,3030,0,-13,-14197,8193,14848,-29057,18085
3031,3031,0,-4254,-16385,16384,29952,9784,8560
3032,3032,0,-8205,-14189,8188,-8192,21601,9936
3033,3033,0,-11596,-8189,-8196,-31744,-21445,14094
3034,3034,0,-14197,3,-16385,2048,-49484,6971
3035,3035,0,-15830,8197,-8191,32256,-16245,-6272
3036,3036,0,-16385,14193,8193,5120,18476,-9550
3037,3037,0,-15826,16384,16384,-31232,-2121,-3738
3038,3038,0,-14189,14183,8188,-11264,-34770,-3801
3039,3039,0,-11584,8182,-8196,28928,-16315,-12019
3040,3040,0,-8189,-13,-16385,17664,19386,-14596
3041,3041,0,-4238,-8205,-8191,-25088,5371,-7925
3042,3042,0,3,-14197,8193,-22528,-35477,-5592
3043,3043,0,4245,-16385,16384,20736,-27576,-13763
3044,3044,0,8197,-14189,8188,27136,20884,-18937
3045,3045,0,11589,-8189,-8196,-14848,30285,-11349
3046,3046,0,14193,3,-16385,-29952,-9403,-2360
3047,3047,0,15827,8197,-8191,8192,-19855,-4416
3048,3048,0,16384,14193,8193,31744,26069,-8828
3049,3049,0,15823,16384,16384,-2048,57272,-1208
3050,3050,0,14183,14183,8188,-32256,26063,13261
3051,3051,0,11578,8182,-8196,-5120,-8935,18119
3052,3052,0,8182,-13,-16385,31232,8500,13620
3053,3053,0,4230,-8205,-8191,11264,35310,14042
3054,3054,0,-13,-14197,8193,-28928,9343,21114
3055,3055,0,-4254,-16385,16384,-17664,-33992,20810
3056,3056,0,-8205,-14189,8188,25088,-26015,9710
3057,3057,0,-11596,-8189,-8196,22528,11835,1992
3058,3058,0,-14197,3,-16385,-20736,4788,4701
