Sample in Buffer,Sample in Window,TRIGGER,cos_500kHz[15:0],cos_1MHz[15:0],cos_2MHz[15:0],cos_2_8MHz_wc[15:0],outputCos[17:0],filteredCos[18:0]
4470,4470,0,-13,-14197,8193,14848,-29057,18085
4471,4471,0,-4254,-16385,16384,29952,9784,8560
4472,4472,0,-8205,-14189,8188,-8192,21601,9936
4473,4473,0,-11596,-8189,-8196,-31744,-21445,14094
4474,4474,0,-14197,3,-16385,2048,-49484,6971
4475,4475,0,-15830,8197,-8191,32256,-16245,-6272
4476,4476,0,-16385,14193,8193,5120,18476,-9550
4477,4477,0,-15826,16384,16384,-31232,-2121,-3738
4478,4478,0,-14189,14183,8188,-11264,-34770,-3801
4479,4479,0,-11584,8182,-8196,28928,-16315,-12019
4480,4480,0,-8189,-13,-16385,17664,19386,-14596
4481,4481,0,-4238,-8205,-8191,-25088,5371,-7925
4482,4482,0,3,-14197,8193,-22528,-35477,-5592
4483,4483,0,4245,-16385,16384,20736,-27576,-13763
4484,4484,0,8197,-14189,8188,27136,20884,-18937
4485,4485,0,11589,-8189,-8196,-14848,30285,-11349
4486,4486,0,14193,3,-16385,-29952,-9403,-2360
4487,4487,0,15827,8197,-8191,8192,-19855,-4416
4488,4488,0,16384,14193,8193,31744,26069,-8828
4489,4489,0,15823,16384,16384,-2048,57272,-1208
4490,4490,0,14183,14183,8188,-32256,26063,13261
4491,4491,0,11578,8182,-8196,-5120,-8935,18119
4492,4492,0,8182,-13,-16385,31232,8500,13620
4493,4493,0,4230,-8205,-8191,11264,35310,14042
4494,4494,0,-13,-14197,8193,-28928,9343,21114
4495,4495,0,-4254,-16385,16384,-17664,-33992,20810
4496,4496,0,-8205,-14189,8188,25088,-26015,9710
4497,4497,0,-11596,-8189,-8196,22528,11835,1992
4498,4498,0,-14197,3,-16385,-20736,4788,4701
4499,4499,0,-15830,8197,-8191,-27136,-39029,5310
4500,4500,0,-16385,14193,8193,14848,-40916,-5111
4501,4501,0,-15826,16384,16384,29952,7607,-14702
4502,4502,0,-14189,14183,8188,-8192,26414,-10963
4503,4503,0,-11584,8182,-8196,-31744,-13243,-2990
4504,4504,0,-8189,-13,-16385,2048,-41286,-5927
4505,4505,0,-4238,-8205,-8191,32256,-10245,-15508
4506,4506,0,3,-14197,8193,5120,21867,-16131
4507,4507,0,4245,-16385,16384,-31232,72,-8648
4508,4508,0,8197,-14189,8188,-11264,-31084,-7549
4509,4509,0,11589,-8189,-8196,28928,-8115,-14377
4510,4510,0,14193,3,-16385,17664,34373,-14609
4511,4511,0,15827,8197,-8191,-25088,27761,-4190
4512,4512,0,16384,14193,8193,-22528,-7211,3274
4513,4513,0,15823,16384,16384,20736,3000,1062
4514,4514,0,14183,14183,8188,27136,48847,1679
4515,4515,0,11578,8182,-8196,-14848,50457,13680
4516,4516,0,8182,-13,-16385,-29952,-1228,24584
4517,4517,0,4230,-8205,-8191,8192,-25874,21204
4518,4518,0,-13,-14197,8193,31744,6271,12085
4519,4519,0,-4254,-16385,16384,-2048,26680,12142
4520,4520,0,-8205,-14189,8188,-32256,-10399,17294
4521,4521,0,-11596,-8189,-8196,-5120,-45509,12532
4522,4522,0,-14197,3,-16385,31232,-22860,-412
4523,4523,0,-15830,8197,-8191,11264,12939,-6076
4524,4524,0,-16385,14193,8193,-28928,-2516,-2082
4525,4525,0,-15826,16384,16384,-17664,-36169,-2451
4526,4526,0,-14189,14183,8188,25088,-21202,-11187
4527,4527,0,-11584,8182,-8196,22528,20037,-15090
4528,4528,0,-8189,-13,-16385,-20736,12986,-8195
4529,4529,0,-4238,-8205,-8191,-27136,-33029,-3925
4530,4530,0,3,-14197,8193,14848,-37525,-11692
4531,4531,0,4245,-16385,16384,29952,9800,-19612
4532,4532,0,8197,-14189,8188,-8192,30100,-14711
4533,4533,0,11589,-8189,-8196,-31744,-5043,-5348
4534,4534,0,14193,3,-16385,2048,-26299,-5941
4535,4535,0,15827,8197,-8191,32256,12145,-11774
4536,4536,0,16384,14193,8193,5120,50133,-7266
4537,4537,0,15823,16384,16384,-31232,30648,6175
4538,4538,0,14183,14183,8188,-11264,-3121,13065
4539,4539,0,11578,8182,-8196,28928,12057,10651
4540,4540,0,8182,-13,-16385,17664,42548,12333
4541,4541,0,4230,-8205,-8191,-25088,21742,21428
4542,4542,0,-13,-14197,8193,-22528,-27009,24185
4543,4543,0,-4254,-16385,16384,20736,-27592,14409
4544,4544,0,-8205,-14189,8188,27136,12385,5709
4545,4545,0,-11596,-8189,-8196,-14848,13883,8091
4546,4546,0,-14197,3,-16385,-29952,-32588,10550
4547,4547,0,-15830,8197,-8191,8192,-48245,1084
4548,4548,0,-16385,14193,8193,31744,-5588,-11113
4549,4549,0,-15826,16384,16384,-2048,24503,-11121
4550,4550,0,-14189,14183,8188,-32256,-5586,-3606
4551,4551,0,-11584,8182,-8196,-5120,-37307,-4552
4552,4552,0,-8189,-13,-16385,31232,-14662,-13310
4553,4553,0,-4238,-8205,-8191,11264,18939,-15312
4554,4554,0,3,-14197,8193,-28928,875,-8664
4555,4555,0,4245,-16385,16384,-17664,-33976,-7363
4556,4556,0,8197,-14189,8188,25088,-17516,-14937
4557,4557,0,11589,-8189,-8196,22528,28237,-17449
4558,4558,0,14193,3,-16385,-20736,27973,-8209
4559,4559,0,15827,8197,-8191,-27136,-10639,-190
4560,4560,0,16384,14193,8193,14848,-9259,-2826
4561,4561,0,15823,16384,16384,29952,40376,-4788
4562,4562,0,14183,14183,8188,-8192,58063,5904
4563,4563,0,11578,8182,-8196,-31744,15129,19681
4564,4564,0,8182,-13,-16385,2048,-18124,21003
4565,4565,0,4230,-8205,-8191,32256,6126,13846
4566,4566,0,-13,-14197,8193,5120,30335,13646
4567,4567,0,-4254,-16385,16384,-31232,56,19524
4568,4568,0,-8205,-14189,8188,-11264,-39583,17097
4569,4569,0,-11596,-8189,-8196,28928,-24517,5064
4570,4570,0,-14197,3,-16385,17664,11188,-1699
4571,4571,0,-15830,8197,-8191,-25088,-629,1310
4572,4572,0,-16385,14193,8193,-22528,-38868,989
4573,4573,0,-15826,16384,16384,20736,-29769,-8852
4574,4574,0,-14189,14183,8188,27136,17198,-15188
4575,4575,0,-11584,8182,-8196,-14848,22085,-8990
4576,4576,0,-8189,-13,-16385,-29952,-24390,-2345
4577,4577,0,-4238,-8205,-8191,8192,-42245,-8150
4578,4578,0,3,-14197,8193,31744,-2197,-17693
4579,4579,0,4245,-16385,16384,-2048,26696,-16031
4580,4580,0,8197,-14189,8188,-32256,-1900,-7354
4581,4581,0,11589,-8189,-8196,-5120,-29107,-6910
4582,4582,0,14193,3,-16385,31232,325,-13323
4583,4583,0,15827,8197,-8191,11264,41329,-11577
4584,4584,0,16384,14193,8193,-28928,29141,202
4585,4585,0,15823,16384,16384,-17664,-3400,7462
4586,4586,0,14183,14183,8188,25088,10447,5679
4587,4587,0,11578,8182,-8196,22528,48409,7580
4588,4588,0,8182,-13,-16385,-20736,36148,18734
4589,4589,0,4230,-8205,-8191,-27136,-16658,25429
4590,4590,0,-13,-14197,8193,14848,-29057,18085
4591,4591,0,-4254,-16385,16384,29952,9784,8560
4592,4592,0,-8205,-14189,8188,-8192,21601,9936
4593,4593,0,-11596,-8189,-8196,-31744,-21445,14094
4594,4594,0,-14197,3,-16385,2048,-49484,6971
4595,4595,0,-15830,8197,-8191,32256,-16245,-6272
4596,4596,0,-16385,14193,8193,5120,18476,-9550
4597,4597,0,-15826,16384,16384,-31232,-2121,-3738
4598,4598,0,-14189,14183,8188,-11264,-34770,-3801
4599,4599,0,-11584,8182,-8196,28928,-16315,-12019
4600,4600,0,-8189,-13,-16385,17664,19386,-14596
4601,4601,0,-4238,-8205,-8191,-25088,5371,-7925
4602,4602,0,3,-14197,8193,-22528,-35477,-5592
4603,4603,0,4245,-16385,16384,20736,-27576,-13763
4604,4604,0,8197,-14189,8188,27136,20884,-18937
4605,4605,0,11589,-8189,-8196,-14848,30285,-11349
4606,4606,0,14193,3,-16385,-29952,-9403,-2360
4607,4607,0,15827,8197,-8191,8192,-19855,-4416
4608,4608,0,16384,14193,8193,31744,26069,-8828
4609,4609,0,15823,16384,16384,-2048,57272,-1208
4610,4610,0,14183,14183,8188,-32256,26063,13261
4611,4611,0,11578,8182,-8196,-5120,-8935,18119
4612,4612,0,8182,-13,-16385,31232,8500,13620
4613,4613,0,4230,-8205,-8191,11264,35310,14042
4614,4614,0,-13,-14197,8193,-28928,9343,21114
4615,4615,0,-4254,-16385,16384,-17664,-33992,20810
4616,4616,0,-8205,-14189,8188,25088,-26015,9710
4617,4617,0,-11596,-8189,-8196,22528,11835,1992
4618,4618,0,-14197,3,-16385,-20736,4788,4701
4619,4619,0,-15830,8197,-8191,-27136,-39029,5310
4620,4620,0,-16385,14193,8193,14848,-40916,-5111
4621,4621,0,-15826,16384,16384,29952,7607,-14702
4622,4622,0,-14189,14183,8188,-8192,26414,-10963
4623,4623,0,-11584,8182,-8196,-31744,-13243,-2990
4624,4624,0,-8189,-13,-16385,2048,-41286,-5927
4625,4625,0,-4238,-8205,-8191,32256,-10245,-15508
4626,4626,0,3,-14197,8193,5120,21867,-16131
4627,4627,0,4245,-16385,16384,-31232,72,-8648
4628,4628,0,8197,-14189,8188,-11264,-31084,-7549
4629,4629,0,11589,-8189,-8196,28928,-8115,-14377
4630,4630,0,14193,3,-16385,17664,34373,-14609
4631,4631,0,15827,8197,-8191,-25088,27761,-4190
4632,4632,0,16384,14193,8193,-22528,-7211,3274
4633,4633,0,15823,16384,16384,20736,3000,1062
4634,4634,0,14183,14183,8188,27136,48847,1679
4635,4635,0,11578,8182,-8196,-14848,50457,13680
4636,4636,0,8182,-13,-16385,-29952,-1228,24584
4637,4637,0,4230,-8205,-8191,8192,-25874,21204
4638,4638,0,-13,-14197,8193,31744,6271,12085
4639,4639,0,-4254,-16385,16384,-2048,26680,12142
4640,4640,0,-8205,-14189,8188,-32256,-10399,17294
4641,4641,0,-11596,-8189,-8196,-5120,-45509,12532
4642,4642,0,-14197,3,-16385,31232,-22860,-412
4643,4643,0,-15830,8197,-8191,11264,12939,-6076
4644,4644,0,-16385,14193,8193,-28928,-2516,-2082
4645,4645,0,-15826,16384,16384,-17664,-36169,-2451
4646,4646,0,-14189,14183,8188,25088,-21202,-11187
4647,4647,0,-11584,8182,-8196,22528,20037,-15090
4648,4648,0,-8189,-13,-16385,-20736,12986,-8195
4649,4649,0,-4238,-8205,-8191,-27136,-33029,-3925
4650,4650,0,3,-14197,8193,14848,-37525,-11692
4651,4651,0,4245,-16385,16384,29952,9800,-19612
4652,4652,0,8197,-14189,8188,-8192,30100,-14711
4653,4653,0,11589,-8189,-8196,-31744,-5043,-5348
4654,4654,0,14193,3,-16385,2048,-26299,-5941
4655,4655,0,15827,8197,-8191,32256,12145,-11774
4656,4656,0,16384,14193,8193,5120,50133,-7266
4657,4657,0,15823,16384,16384,-31232,30648,6175
4658,4658,0,14183,14183,8188,-11264,-3121,13065
4659,4659,0,11578,8182,-8196,28928,12057,10651
4660,4660,0,8182,-13,-16385,17664,42548,12333
4661,4661,0,4230,-8205,-8191,-25088,21742,21428
4662,4662,0,-13,-14197,8193,-22528,-27009,24185
4663,4663,0,-4254,-16385,16384,20736,-27592,14409
4664,4664,0,-8205,-14189,8188,27136,12385,5709
4665,4665,0,-11596,-8189,-8196,-14848,13883,8091
4666,4666,0,-14197,3,-16385,-29952,-32588,10550
4667,4667,0,-15830,8197,-8191,8192,-48245,1084
4668,4668,0,-16385,14193,8193,31744,-5588,-11113
4669,4669,0,-15826,16384,16384,-2048,24503,-11121
4670,4670,0,-14189,14183,8188,-32256,-5586,-3606
4671,4671,0,-11584,8182,-8196,-5120,-37307,-4552
4672,4672,0,-8189,-13,-16385,31232,-14662,-13310
4673,4673,0,-4238,-8205,-8191,11264,18939,-15312
4674,4674,0,3,-14197,8193,-28928,875,-8664
4675,4675,0,4245,-16385,16384,-17664,-33976,-7363
4676,4676,0,8197,-14189,8188,25088,-17516,-14937
4677,4677,0,11589,-8189,-8196,22528,28237,-17449
4678,4678,0,14193,3,-16385,-20736,27973,-8209
4679,4679,0,15827,8197,-8191,-27136,-10639,-190
4680,4680,0,16384,14193,8193,14848,-9259,-2826
4681,4681,0,15823,16384,16384,29952,40376,-4788
4682,4682,0,14183,14183,8188,-8192,58063,5904
4683,4683,0,11578,8182,-8196,-31744,15129,19681
4684,4684,0,8182,-13,-16385,2048,-18124,21003
4685,4685,0,4230,-8205,-8191,32256,6126,13846
4686,4686,0,-13,-14197,8193,5120,30335,13646
4687,4687,0,-4254,-16385,16384,-31232,56,19524
4688,4688,0,-8205,-14189,8188,-11264,-39583,17097
4689,4689,0,-11596,-8189,-8196,28928,-24517,5064
4690,4690,0,-14197,3,-16385,17664,11188,-1699
4691,4691,0,-15830,8197,-8191,-25088,-629,1310
4692,4692,0,-16385,14193,8193,-22528,-38868,989
4693,4693,0,-15826,16384,16384,20736,-29769,-8852
4694,4694,0,-14189,14183,8188,27136,17198,-15188
4695,4695,0,-11584,8182,-8196,-14848,22085,-8990
4696,4696,0,-8189,-13,-16385,-29952,-24390,-2345
4697,4697,0,-4238,-8205,-8191,8192,-42245,-8150
4698,4698,0,3,-14197,8193,31744,-2197,-17693
4699,4699,0,4245,-16385,16384,-2048,26696,-16031
4700,4700,0,8197,-14189,8188,-32256,-1900,-7354
4701,4701,0,11589,-8189,-8196,-5120,-29107,-6910
4702,4702,0,14193,3,-16385,31232,325,-13323
4703,4703,0,15827,8197,-8191,11264,41329,-11577
4704,4704,0,16384,14193,8193,-28928,29141,202
4705,4705,0,15823,16384,16384,-17664,-3400,7462
4706,4706,0,14183,14183,8188,25088,10447,5679
4707,4707,0,11578,8182,-8196,22528,48409,7580
4708,4708,0,8182,-13,-16385,-20736,36148,18734
4709,4709,0,4230,-8205,-8191,-27136,-16658,25429
4710,4710,0,-13,-14197,8193,14848,-29057,18085
4711,4711,0,-4254,-16385,16384,29952,9784,8560
4712,4712,0,-8205,-14189,8188,-8192,21601,9936
4713,4713,0,-11596,-8189,-8196,-31744,-21445,14094
4714,4714,0,-14197,3,-16385,2048,-49484,6971
4715,4715,0,-15830,8197,-8191,32256,-16245,-6272
4716,4716,0,-16385,14193,8193,5120,18476,-9550
4717,4717,0,-15826,16384,16384,-31232,-2121,-3738
4718,4718,0,-14189,14183,8188,-11264,-34770,-3801
4719,4719,0,-11584,8182,-8196,28928,-16315,-12019
4720,4720,0,-8189,-13,-16385,17664,19386,-14596
4721,4721,0,-4238,-8205,-8191,-25088,5371,-7925
4722,4722,0,3,-14197,8193,-22528,-35477,-5592
4723,4723,0,4245,-16385,16384,20736,-27576,-13763
4724,4724,0,8197,-14189,8188,27136,20884,-18937
4725,4725,0,11589,-8189,-8196,-14848,30285,-11349
4726,4726,0,14193,3,-16385,-29952,-9403,-2360
4727,4727,0,15827,8197,-8191,8192,-19855,-4416
4728,4728,0,16384,14193,8193,31744,26069,-8828
4729,4729,0,15823,16384,16384,-2048,57272,-1208
4730,4730,0,14183,14183,8188,-32256,26063,13261
4731,4731,0,11578,8182,-8196,-5120,-8935,18119
4732,4732,0,8182,-13,-16385,31232,8500,13620
4733,4733,0,4230,-8205,-8191,11264,35310,14042
4734,4734,0,-13,-14197,8193,-28928,9343,21114
4735,4735,0,-4254,-16385,16384,-17664,-33992,20810
4736,4736,0,-8205,-14189,8188,25088,-26015,9710
4737,4737,0,-11596,-8189,-8196,22528,11835,1992
4738,4738,0,-14197,3,-16385,-20736,4788,4701
4739,4739,0,-15830,8197,-8191,-27136,-39029,5310
4740,4740,0,-16385,14193,8193,14848,-40916,-5111
4741,4741,0,-15826,16384,16384,29952,7607,-14702
4742,4742,0,-14189,14183,8188,-8192,26414,-10963
4743,4743,0,-11584,8182,-8196,-31744,-13243,-2990
4744,4744,0,-8189,-13,-16385,2048,-41286,-5927
4745,4745,0,-4238,-8205,-8191,32256,-10245,-15508
4746,4746,0,3,-14197,8193,5120,21867,-16131
4747,4747,0,4245,-16385,16384,-31232,72,-8648
4748,4748,0,8197,-14189,8188,-11264,-31084,-7549
4749,4749,0,11589,-8189,-8196,28928,-8115,-14377
4750,4750,0,14193,3,-16385,17664,34373,-14609
4751,4751,0,15827,8197,-8191,-25088,27761,-4190
4752,4752,0,16384,14193,8193,-22528,-7211,3274
4753,4753,0,15823,16384,16384,20736,3000,1062
4754,4754,0,14183,14183,8188,27136,48847,1679
4755,4755,0,11578,8182,-8196,-14848,50457,13680
4756,4756,0,8182,-13,-16385,-29952,-1228,24584
4757,4757,0,4230,-8205,-8191,8192,-25874,21204
4758,4758,0,-13,-14197,8193,31744,6271,12085
4759,4759,0,-4254,-16385,16384,-2048,26680,12142
4760,4760,0,-8205,-14189,8188,-32256,-10399,17294
4761,4761,0,-11596,-8189,-8196,-5120,-45509,12532
4762,4762,0,-14197,3,-16385,31232,-22860,-412
4763,4763,0,-15830,8197,-8191,11264,12939,-6076
4764,4764,0,-16385,14193,8193,-28928,-2516,-2082
4765,4765,0,-15826,16384,16384,-17664,-36169,-2451
4766,4766,0,-14189,14183,8188,25088,-21202,-11187
4767,4767,0,-11584,8182,-8196,22528,20037,-15090
4768,4768,0,-8189,-13,-16385,-20736,12986,-8195
4769,4769,0,-4238,-8205,-8191,-27136,-33029,-3925
4770,4770,0,3,-14197,8193,14848,-37525,-11692
4771,4771,0,4245,-16385,16384,29952,9800,-19612
4772,4772,0,8197,-14189,8188,-8192,30100,-14711
4773,4773,0,11589,-8189,-8196,-31744,-5043,-5348
4774,4774,0,14193,3,-16385,2048,-26299,-5941
4775,4775,0,15827,8197,-8191,32256,12145,-11774
4776,4776,0,16384,14193,8193,5120,50133,-7266
4777,4777,0,15823,16384,16384,-31232,30648,6175
4778,4778,0,14183,14183,8188,-11264,-3121,13065
4779,4779,0,11578,8182,-8196,28928,12057,10651
4780,4780,0,8182,-13,-16385,17664,42548,12333
4781,4781,0,4230,-8205,-8191,-25088,21742,21428
4782,4782,0,-13,-14197,8193,-22528,-27009,24185
4783,4783,0,-4254,-16385,16384,20736,-27592,14409
4784,4784,0,-8205,-14189,8188,27136,12385,5709
4785,4785,0,-11596,-8189,-8196,-14848,13883,8091
4786,4786,0,-14197,3,-16385,-29952,-32588,10550
4787,4787,0,-15830,8197,-8191,8192,-48245,1084
4788,4788,0,-16385,14193,8193,31744,-5588,-11113
4789,4789,0,-15826,16384,16384,-2048,24503,-11121
4790,4790,0,-14189,14183,8188,-32256,-5586,-3606
4791,4791,0,-11584,8182,-8196,-5120,-37307,-4552
4792,4792,0,-8189,-13,-16385,31232,-14662,-13310
4793,4793,0,-4238,-8205,-8191,11264,18939,-15312
4794,4794,0,3,-14197,8193,-28928,875,-8664
4795,4795,0,4245,-16385,16384,-17664,-33976,-7363
4796,4796,0,8197,-14189,8188,25088,-17516,-14937
4797,4797,0,11589,-8189,-8196,22528,28237,-17449
4798,4798,0,14193,3,-16385,-20736,27973,-8209
4799,4799,0,15827,8197,-8191,-27136,-10639,-190
4800,4800,0,16384,14193,8193,14848,-9259,-2826
4801,4801,0,15823,16384,16384,29952,40376,-4788
4802,4802,0,14183,14183,8188,-8192,58063,5904
4803,4803,0,11578,8182,-8196,-31744,15129,19681
4804,4804,0,8182,-13,-16385,2048,-18124,21003
4805,4805,0,4230,-8205,-8191,32256,6126,13846
4806,4806,0,-13,-14197,8193,5120,30335,13646
4807,4807,0,-4254,-16385,16384,-31232,56,19524
4808,4808,0,-8205,-14189,8188,-11264,-39583,17097
4809,4809,0,-11596,-8189,-8196,28928,-24517,5064
4810,4810,0,-14197,3,-16385,17664,11188,-1699
4811,4811,0,-15830,8197,-8191,-25088,-629,1310
4812,4812,0,-16385,14193,8193,-22528,-38868,989
4813,4813,0,-15826,16384,16384,20736,-29769,-8852
4814,4814,0,-14189,14183,8188,27136,17198,-15188
4815,4815,0,-11584,8182,-8196,-14848,22085,-8990
4816,4816,0,-8189,-13,-16385,-29952,-24390,-2345
4817,4817,0,-4238,-8205,-8191,8192,-42245,-8150
4818,4818,0,3,-14197,8193,31744,-2197,-17693
4819,4819,0,4245,-16385,16384,-2048,26696,-16031
4820,4820,0,8197,-14189,8188,-32256,-1900,-7354
4821,4821,0,11589,-8189,-8196,-5120,-29107,-6910
4822,4822,0,14193,3,-16385,31232,325,-13323
4823,4823,0,15827,8197,-8191,11264,41329,-11577
4824,4824,0,16384,14193,8193,-28928,29141,202
4825,4825,0,15823,16384,16384,-17664,-3400,7462
4826,4826,0,14183,14183,8188,25088,10447,5679
4827,4827,0,11578,8182,-8196,22528,48409,7580
4828,4828,0,8182,-13,-16385,-20736,36148,18734
4829,4829,0,4230,-8205,-8191,-27136,-16658,25429
4830,4830,0,-13,-14197,8193,14848,-29057,18085
4831,4831,0,-4254,-16385,16384,29952,9784,8560
4832,4832,0,-8205,-14189,8188,-8192,21601,9936
4833,4833,0,-11596,-8189,-8196,-31744,-21445,14094
4834,4834,0,-14197,3,-16385,2048,-49484,6971
4835,4835,0,-15830,8197,-8191,32256,-16245,-6272
4836,4836,0,-16385,14193,8193,5120,18476,-9550
4837,4837,0,-15826,16384,16384,-31232,-2121,-3738
4838,4838,0,-14189,14183,8188,-11264,-34770,-3801
4839,4839,0,-11584,8182,-8196,28928,-16315,-12019
4840,4840,0,-8189,-13,-16385,17664,19386,-14596
4841,4841,0,-4238,-8205,-8191,-25088,5371,-7925
4842,4842,0,3,-14197,8193,-22528,-35477,-5592
4843,4843,0,4245,-16385,16384,20736,-27576,-13763
4844,4844,0,8197,-14189,8188,27136,20884,-18937
4845,4845,0,11589,-8189,-8196,-14848,30285,-11349
4846,4846,0,14193,3,-16385,-29952,-9403,-2360
4847,4847,0,15827,8197,-8191,8192,-19855,-4416
4848,4848,0,16384,14193,8193,31744,26069,-8828
4849,4849,0,15823,16384,16384,-2048,57272,-1208
4850,4850,0,14183,14183,8188,-32256,26063,13261
4851,4851,0,11578,8182,-8196,-5120,-8935,18119
4852,4852,0,8182,-13,-16385,31232,8500,13620
4853,4853,0,4230,-8205,-8191,11264,35310,14042
4854,4854,0,-13,-14197,8193,-28928,9343,21114
4855,4855,0,-4254,-16385,16384,-17664,-33992,20810
4856,4856,0,-8205,-14189,8188,25088,-26015,9710
4857,4857,0,-11596,-8189,-8196,22528,11835,1992
4858,4858,0,-14197,3,-16385,-20736,4788,4701
4859,4859,0,-15830,8197,-8191,-27136,-39029,5310
4860,4860,0,-16385,14193,8193,14848,-40916,-5111
4861,4861,0,-15826,16384,16384,29952,7607,-14702
4862,4862,0,-14189,14183,8188,-8192,26414,-10963
4863,4863,0,-11584,8182,-8196,-31744,-13243,-2990
4864,4864,0,-8189,-13,-16385,2048,-41286,-5927
4865,4865,0,-4238,-8205,-8191,32256,-10245,-15508
4866,4866,0,3,-14197,8193,5120,21867,-16131
4867,4867,0,4245,-16385,16384,-31232,72,-8648
4868,4868,0,8197,-14189,8188,-11264,-31084,-7549
4869,4869,0,11589,-8189,-8196,28928,-8115,-14377
4870,4870,0,14193,3,-16385,17664,34373,-14609
4871,4871,0,15827,8197,-8191,-25088,27761,-4190
4872,4872,0,16384,14193,8193,-22528,-7211,3274
4873,4873,0,15823,16384,16384,20736,3000,1062
4874,4874,0,14183,14183,8188,27136,48847,1679
4875,4875,0,11578,8182,-8196,-14848,50457,13680
4876,4876,0,8182,-13,-16385,-29952,-1228,24584
4877,4877,0,4230,-8205,-8191,8192,-25874,21204
4878,4878,0,-13,-14197,8193,31744,6271,12085
4879,4879,0,-4254,-16385,16384,-2048,26680,12142
4880,4880,0,-8205,-14189,8188,-32256,-10399,17294
4881,4881,0,-11596,-8189,-8196,-5120,-45509,12532
4882,4882,0,-14197,3,-16385,31232,-22860,-412
4883,4883,0,-15830,8197,-8191,11264,12939,-6076
4884,4884,0,-16385,14193,8193,-28928,-2516,-2082
4885,4885,0,-15826,16384,16384,-17664,-36169,-2451
4886,4886,0,-14189,14183,8188,25088,-21202,-11187
4887,4887,0,-11584,8182,-8196,22528,20037,-15090
4888,4888,0,-8189,-13,-16385,-20736,12986,-8195
4889,4889,0,-4238,-8205,-8191,-27136,-33029,-3925
4890,4890,0,3,-14197,8193,14848,-37525,-11692
4891,4891,0,4245,-16385,16384,29952,9800,-19612
4892,4892,0,8197,-14189,8188,-8192,30100,-14711
4893,4893,0,11589,-8189,-8196,-31744,-5043,-5348
4894,4894,0,14193,3,-16385,2048,-26299,-5941
4895,4895,0,15827,8197,-8191,32256,12145,-11774
4896,4896,0,16384,14193,8193,5120,50133,-7266
4897,4897,0,15823,16384,16384,-31232,30648,6175
4898,4898,0,14183,14183,8188,-11264,-3121,13065
4899,4899,0,11578,8182,-8196,28928,12057,10651
4900,4900,0,8182,-13,-16385,17664,42548,12333
4901,4901,0,4230,-8205,-8191,-25088,21742,21428
4902,4902,0,-13,-14197,8193,-22528,-27009,24185
4903,4903,0,-4254,-16385,16384,20736,-27592,14409
4904,4904,0,-8205,-14189,8188,27136,12385,5709
4905,4905,0,-11596,-8189,-8196,-14848,13883,8091
4906,4906,0,-14197,3,-16385,-29952,-32588,10550
4907,4907,0,-15830,8197,-8191,8192,-48245,1084
4908,4908,0,-16385,14193,8193,31744,-5588,-11113
4909,4909,0,-15826,16384,16384,-2048,24503,-11121
4910,4910,0,-14189,14183,8188,-32256,-5586,-3606
4911,4911,0,-11584,8182,-8196,-5120,-37307,-4552
4912,4912,0,-8189,-13,-16385,31232,-14662,-13310
4913,4913,0,-4238,-8205,-8191,11264,18939,-15312
4914,4914,0,3,-14197,8193,-28928,875,-8664
4915,4915,0,4245,-16385,16384,-17664,-33976,-7363
4916,4916,0,8197,-14189,8188,25088,-17516,-14937
4917,4917,0,11589,-8189,-8196,22528,28237,-17449
4918,4918,0,14193,3,-16385,-20736,27973,-8209
4919,4919,0,15827,8197,-8191,-27136,-10639,-190
4920,4920,0,16384,14193,8193,14848,-9259,-2826
4921,4921,0,15823,16384,16384,29952,40376,-4788
4922,4922,0,14183,14183,8188,-8192,58063,5904
4923,4923,0,11578,8182,-8196,-31744,15129,19681
4924,4924,0,8182,-13,-16385,2048,-18124,21003
4925,4925,0,4230,-8205,-8191,32256,6126,13846
4926,4926,0,-13,-14197,8193,5120,30335,13646
4927,4927,0,-4254,-16385,16384,-31232,56,19524
4928,4928,0,-8205,-14189,8188,-11264,-39583,17097
4929,4929,0,-11596,-8189,-8196,28928,-24517,5064
4930,4930,0,-14197,3,-16385,17664,11188,-1699
4931,4931,0,-15830,8197,-8191,-25088,-629,1310
4932,4932,0,-16385,14193,8193,-22528,-38868,989
4933,4933,0,-15826,16384,16384,20736,-29769,-8852
4934,4934,0,-14189,14183,8188,27136,17198,-15188
4935,4935,0,-11584,8182,-8196,-14848,22085,-8990
4936,4936,0,-8189,-13,-16385,-29952,-24390,-2345
4937,4937,0,-4238,-8205,-8191,8192,-42245,-8150
4938,4938,0,3,-14197,8193,31744,-2197,-17693
4939,4939,0,4245,-16385,16384,-2048,26696,-16031
4940,4940,0,8197,-14189,8188,-32256,-1900,-7354
4941,4941,0,11589,-8189,-8196,-5120,-29107,-6910
4942,4942,0,14193,3,-16385,31232,325,-13323
4943,4943,0,15827,8197,-8191,11264,41329,-11577
4944,4944,0,16384,14193,8193,-28928,29141,202
4945,4945,0,15823,16384,16384,-17664,-3400,7462
4946,4946,0,14183,14183,8188,25088,10447,5679
4947,4947,0,11578,8182,-8196,22528,48409,7580
4948,4948,0,8182,-13,-16385,-20736,36148,18734
4949,4949,0,4230,-8205,-8191,-27136,-16658,25429
4950,4950,0,-13,-14197,8193,14848,-29057,18085
4951,4951,0,-4254,-16385,16384,29952,9784,8560
4952,4952,0,-8205,-14189,8188,-8192,21601,9936
