freq Xk_re Xk_im Xk_mag Xk_err
2.428e+07 -3.18742 2.11991 3.82801 -0.939238
2.429e+07 -3.25744 2.08123 3.86554 -0.938642
2.43e+07 -3.32537 2.03874 3.90058 -0.938086
2.431e+07 -3.3911 1.9925 3.93314 -0.937569
2.432e+07 -3.45451 1.94259 3.96324 -0.937091
2.433e+07 -3.51549 1.88907 3.9909 -0.936652
2.434e+07 -3.57394 1.83205 4.01614 -0.936252
2.435e+07 -3.62973 1.7716 4.039 -0.935889
2.436e+07 -3.68279 1.70783 4.05951 -0.935563
2.437e+07 -3.73301 1.64085 4.07771 -0.935274
2.438e+07 -3.78029 1.57076 4.09364 -0.935022
2.439e+07 -3.82456 1.49769 4.10735 -0.934804
2.44e+07 -3.86574 1.42174 4.11889 -0.934621
2.441e+07 -3.90374 1.34306 4.12831 -0.934471
2.442e+07 -3.9385 1.26177 4.13568 -0.934354
2.443e+07 -3.96994 1.17801 4.14103 -0.934269
2.444e+07 -3.99802 1.09193 4.14445 -0.934215
2.445e+07 -4.02268 1.00367 4.146 -0.93419
2.446e+07 -4.04387 0.913374 4.14574 -0.934195
2.447e+07 -4.06155 0.82121 4.14374 -0.934226
2.448e+07 -4.07567 0.727332 4.14006 -0.934285
2.449e+07 -4.08622 0.631904 4.13479 -0.934368
2.45e+07 -4.09317 0.535089 4.128 -0.934476
2.451e+07 -4.0965 0.437058 4.11975 -0.934607
2.452e+07 -4.0962 0.337982 4.11012 -0.93476
2.453e+07 -4.09226 0.238033 4.09917 -0.934934
2.454e+07 -4.08468 0.137387 4.08699 -0.935127
2.455e+07 -4.07348 0.0362222 4.07364 -0.935339
2.456e+07 -4.05867 -0.0652834 4.05919 -0.935568
2.457e+07 -4.04026 -0.16695 4.04371 -0.935814
2.458e+07 -4.01829 -0.268597 4.02726 -0.936075
2.459e+07 -3.99279 -0.370043 4.0099 -0.936351
2.46e+07 -3.96379 -0.471108 3.99169 -0.93664
2.461e+07 -3.93134 -0.57161 3.97268 -0.936942
2.462e+07 -3.8955 -0.67137 3.95293 -0.937255
2.463e+07 -3.85632 -0.770206 3.93249 -0.93758
2.464e+07 -3.81387 -0.867942 3.91138 -0.937915
2.465e+07 -3.76821 -0.964399 3.88966 -0.938259
2.466e+07 -3.71943 -1.0594 3.86736 -0.938613
2.467e+07 -3.66759 -1.15278 3.84449 -0.938976
2.468e+07 -3.6128 -1.24436 3.82109 -0.939348
2.469e+07 -3.55514 -1.33398 3.79717 -0.939727
2.47e+07 -3.49471 -1.42146 3.77273 -0.940115
2.471e+07 -3.43161 -1.50665 3.74779 -0.940511
2.472e+07 -3.36595 -1.5894 3.72234 -0.940915
2.473e+07 -3.29784 -1.66954 3.69637 -0.941327
2.474e+07 -3.22741 -1.74692 3.66987 -0.941748
2.475e+07 -3.15477 -1.82141 3.64282 -0.942178
2.476e+07 -3.08005 -1.89285 3.61519 -0.942616
2.477e+07 -3.00338 -1.96112 3.58696 -0.943064
2.478e+07 -2.92489 -2.02609 3.55809 -0.943522
2.479e+07 -2.84472 -2.08762 3.52854 -0.943991
2.48e+07 -2.76301 -2.1456 3.49826 -0.944472
2.481e+07 -2.67991 -2.19992 3.46721 -0.944965
2.482e+07 -2.59556 -2.25046 3.43534 -0.945471
2.483e+07 -2.51012 -2.29714 3.40258 -0.945991
2.484e+07 -2.42373 -2.33984 3.36888 -0.946526
2.485e+07 -2.33655 -2.3785 3.33418 -0.947077
2.486e+07 -2.24874 -2.41302 3.29841 -0.947644
2.487e+07 -2.16045 -2.44334 3.26151 -0.94823
2.488e+07 -2.07184 -2.46938 3.22341 -0.948835
2.489e+07 -1.98308 -2.49109 3.18404 -0.94946
2.49e+07 -1.89432 -2.50841 3.14334 -0.950106
2.491e+07 -1.80573 -2.52131 3.10124 -0.950774
2.492e+07 -1.71747 -2.52975 3.05767 -0.951466
2.493e+07 -1.6297 -2.5337 3.01256 -0.952182
2.494e+07 -1.54258 -2.53313 2.96586 -0.952923
2.495e+07 -1.45628 -2.52805 2.91749 -0.953691
2.496e+07 -1.37095 -2.51844 2.86741 -0.954486
2.497e+07 -1.28675 -2.5043 2.81554 -0.955309
2.498e+07 -1.20384 -2.48566 2.76183 -0.956161
2.499e+07 -1.12239 -2.46252 2.70624 -0.957044
2.5e+07 -1.04253 -2.43492 2.64872 -0.957957
2.501e+07 -0.964427 -2.40289 2.58921 -0.958901
2.502e+07 -0.888227 -2.36648 2.52769 -0.959878
2.503e+07 -0.814076 -2.32574 2.4641 -0.960887
2.504e+07 -0.742117 -2.28073 2.39843 -0.96193
2.505e+07 -0.672491 -2.23151 2.33064 -0.963006
2.506e+07 -0.605334 -2.17817 2.26072 -0.964116
2.507e+07 -0.54078 -2.12078 2.18864 -0.96526
2.508e+07 -0.478957 -2.05943 2.11439 -0.966438
2.509e+07 -0.419989 -1.99422 2.03797 -0.967651
2.51e+07 -0.363996 -1.92526 1.95937 -0.968899
2.511e+07 -0.311094 -1.85265 1.87859 -0.970181
2.512e+07 -0.261393 -1.77652 1.79565 -0.971498
2.513e+07 -0.214997 -1.69699 1.71056 -0.972848
2.514e+07 -0.172007 -1.61419 1.62333 -0.974233
2.515e+07 -0.132515 -1.52826 1.534 -0.975651
2.516e+07 -0.096612 -1.43934 1.44258 -0.977102
2.517e+07 -0.0643786 -1.34759 1.34912 -0.978585
2.518e+07 -0.0358915 -1.25315 1.25366 -0.980101
2.519e+07 -0.0112209 -1.15618 1.15624 -0.981647
2.52e+07 0.00956956 -1.05686 1.0569 -0.983224
2.521e+07 0.0264228 -0.955341 0.955706 -0.98483
2.522e+07 0.0392882 -0.85181 0.852715 -0.986465
2.523e+07 0.0481221 -0.746441 0.74799 -0.988127
2.524e+07 0.0528875 -0.639416 0.641599 -0.989816
2.525e+07 0.0535544 -0.53092 0.533614 -0.99153
2.526e+07 0.0500999 -0.421141 0.424111 -0.993268
2.527e+07 0.042508 -0.310272 0.31317 -0.995029
2.528e+07 0.0307699 -0.198505 0.200876 -0.996811
2.529e+07 0.0148842 -0.0860379 0.0873158 -0.998614
2.53e+07 -0.00514368 0.0269328 0.0274196 -0.999565
2.531e+07 -0.0293009 0.140207 0.143236 -0.997726
2.532e+07 -0.0575673 0.253585 0.260037 -0.995872
2.533e+07 -0.0899159 0.366864 0.377722 -0.994004
2.534e+07 -0.126312 0.479844 0.49619 -0.992124
2.535e+07 -0.166714 0.592321 0.615335 -0.990233
2.536e+07 -0.211074 0.704095 0.735052 -0.988333
2.537e+07 -0.259335 0.814964 0.855231 -0.986425
2.538e+07 -0.311436 0.924728 0.975763 -0.984512
2.539e+07 -0.367306 1.03319 1.09654 -0.982595
2.54e+07 -0.426869 1.14015 1.21744 -0.980676
2.541e+07 -0.490042 1.24541 1.33835 -0.978756
2.542e+07 -0.556735 1.34879 1.45917 -0.976839
2.543e+07 -0.626853 1.45009 1.57978 -0.974924
2.544e+07 -0.700293 1.54912 1.70005 -0.973015
2.545e+07 -0.776946 1.6457 1.81989 -0.971113
2.546e+07 -0.856699 1.73966 1.93916 -0.96922
2.547e+07 -0.93943 1.83081 2.05777 -0.967337
2.548e+07 -1.02502 1.91899 2.17559 -0.965467
2.549e+07 -1.11332 2.00403 2.29251 -0.963611
